ID,comments,creator,jsonFile
Ingest-SoftwareComponentTestResult,Node group to ingest SoftwareComponentTestResult data for the RACK-in-a-Box Turnstile example.,Turnstile,Ingest-SoftwareComponentTestResult.json
Ingest-SoftwareUnitTest,Node group to ingest SoftwareUnitTest data for the RACK-in-a-Box Turnstile example.,Turnstile,Ingest-SoftwareUnitTest.json
Ingest-SoftwareThread,Node group to ingest SoftwareThread data for the RACK-in-a-Box Turnstile example.,Turnstile,Ingest-SoftwareThread.json
Ingest-Objective,Node group to ingest Objective data for the RACK-in-a-Box Turnstile example.,Turnstile,Ingest-Objective.json
Ingest-Engineer,Node group to ingest Engineer data for the RACK-in-a-Box Turnstile example.,Turnstile,Ingest-Engineer.json
Ingest-SoftwareIntegrationCompileInput,Node group to ingest SoftwareIntegrationCompileInput data for the RACK-in-a-Box Turnstile example.,Turnstile,Ingest-SoftwareIntegrationCompileInput.json
Ingest-HAZARD,Node group to ingest HAZARD data for the RACK-in-a-Box Turnstile example.,Turnstile,Ingest-HAZARD.json
Ingest-SourceCode,Node group to ingest SourceCode data for the RACK-in-a-Box Turnstile example.,Turnstile,Ingest-SourceCode.json
Ingest-SystemRequirement,Node group to ingest SystemRequirement data for the RACK-in-a-Box Turnstile example.,Turnstile,Ingest-SystemRequirement.json
Ingest-SystemInterfaceDefinition,Node group to ingest SystemInterfaceDefinition data for the RACK-in-a-Box Turnstile example.,Turnstile,Ingest-SystemInterfaceDefinition.json
Ingest-SoftwareUnitTestResult,Node group to ingest SoftwareUnitTestResult data for the RACK-in-a-Box Turnstile example.,Turnstile,Ingest-SoftwareUnitTestResult.json
Ingest-SoftwareDesign,Node group to ingest SoftwareDesign data for the RACK-in-a-Box Turnstile example.,Turnstile,Ingest-SoftwareDesign.json
Ingest-SystemComponent,Node group to ingest SystemComponent data for the RACK-in-a-Box Turnstile example.,Turnstile,Ingest-SystemComponent.json
Ingest-LowLevelRequirements,Node group to ingest LowLevelRequirements data for the RACK-in-a-Box Turnstile example.,Turnstile,Ingest-LowLevelRequirements.json
Ingest-SoftwareUnitTestExecution,Node group to ingest SoftwareUnitTestExecution data for the RACK-in-a-Box Turnstile example.,Turnstile,Ingest-SoftwareUnitTestExecution.json
Ingest-SoftwareDesignReview,Node group to ingest SoftwareDesignReview data for the RACK-in-a-Box Turnstile example.,Turnstile,Ingest-SoftwareDesignReview.json
Ingest-SoftwareIntegration,Node group to ingest SoftwareIntegration data for the RACK-in-a-Box Turnstile example.,Turnstile,Ingest-SoftwareIntegration.json
Ingest-SoftwareRequirementsReview,Node group to ingest SoftwareRequirementsReview data for the RACK-in-a-Box Turnstile example.,Turnstile,Ingest-SoftwareRequirementsReview.json
Ingest-SoftwareRequirementsReviewArtifacts,Node group to ingest SoftwareRequirementsReviewArtifacts data for the RACK-in-a-Box Turnstile example.,Turnstile,Ingest-SoftwareRequirementsReviewArtifacts.json
Ingest-SoftwareComponentTestExecution,Node group to ingest SoftwareComponentTestExecution data for the RACK-in-a-Box Turnstile example.,Turnstile,Ingest-SoftwareComponentTestExecution.json
Ingest-DataAndControlCouple,Node group to ingest DataAndControlCouple data for the RACK-in-a-Box Turnstile example.,Turnstile,Ingest-DataAndControlCouple.json
Ingest-SourceCodeTracing,Node group to ingest SourceCodeTracing data for the RACK-in-a-Box Turnstile example.,Turnstile,Ingest-SourceCodeTracing.json
Ingest-SoftwareDesignReviewArtifacts,Node group to ingest SoftwareDesignReviewArtifacts data for the RACK-in-a-Box Turnstile example.,Turnstile,Ingest-SoftwareDesignReviewArtifacts.json
Ingest-ObjectFile,Node group to ingest ObjectFile data for the RACK-in-a-Box Turnstile example.,Turnstile,Ingest-ObjectFile.json
Ingest-HighLevelRequirements,Node group to ingest HighLevelRequirements data for the RACK-in-a-Box Turnstile example.,Turnstile,Ingest-HighLevelRequirements.json
Ingest-SoftwareComponentTest,Node group to ingest SoftwareComponentTest data for the RACK-in-a-Box Turnstile example.,Turnstile,Ingest-SoftwareComponentTest.json
Ingest-SoftwareRequirementsDefinition,Node group to ingest SoftwareRequirementsDefinition data for the RACK-in-a-Box Turnstile example.,Turnstile,Ingest-SoftwareRequirementsDefinition.json
Ingest-DataDictionary,Node group to ingest DataDictionary data for the RACK-in-a-Box Turnstile example.,Turnstile,Ingest-DataDictionary.json
