ID,comments,creator,jsonFile
ingest_descert_SystemArchitecture,Auto-generated ingestion for SystemArchitecture,auto,ingest_descert_SystemArchitecture.json
ingest_descert_RadlGenericProperty,Auto-generated ingestion for RadlGenericProperty,auto,ingest_descert_RadlGenericProperty.json
ingest_descert_SourceCode,Auto-generated ingestion for SourceCode,auto,ingest_descert_SourceCode.json
ingest_descert_DevelopSystemArchitecture,Auto-generated ingestion for DevelopSystemArchitecture,auto,ingest_descert_DevelopSystemArchitecture.json
ingest_descert_RandoopTestsAndMetrics,Auto-generated ingestion for RandoopTestsAndMetrics,auto,ingest_descert_RandoopTestsAndMetrics.json
ingest_descert_SallyNotation,Auto-generated ingestion for SallyNotation,auto,ingest_descert_SallyNotation.json
ingest_descert_SoftwareLowLevelRequirement,Auto-generated ingestion for SoftwareLowLevelRequirement,auto,ingest_descert_SoftwareLowLevelRequirement.json
ingest_descert_ClearNotation,Auto-generated ingestion for ClearNotation,auto,ingest_descert_ClearNotation.json
ingest_descert_DataDictionary,Auto-generated ingestion for DataDictionary,auto,ingest_descert_DataDictionary.json
ingest_descert_RadlNotation,Auto-generated ingestion for RadlNotation,auto,ingest_descert_RadlNotation.json
ingest_descert_ClearGenericProperty,Auto-generated ingestion for ClearGenericProperty,auto,ingest_descert_ClearGenericProperty.json
ingest_descert_SoftwareLowLevelRequirementSet,Auto-generated ingestion for SoftwareLowLevelRequirementSet,auto,ingest_descert_SoftwareLowLevelRequirementSet.json
ingest_descert_ToolInvocationInstance,Auto-generated ingestion for ToolInvocationInstance,auto,ingest_descert_ToolInvocationInstance.json
ingest_descert_SystemRequirement,Auto-generated ingestion for SystemRequirement,auto,ingest_descert_SystemRequirement.json
ingest_descert_ExecutableObject,Auto-generated ingestion for ExecutableObject,auto,ingest_descert_ExecutableObject.json
ingest_descert_SallyPropertyModel,Auto-generated ingestion for SallyPropertyModel,auto,ingest_descert_SallyPropertyModel.json
ingest_descert_SoftwareHighLevelRequirement,Auto-generated ingestion for SoftwareHighLevelRequirement,auto,ingest_descert_SoftwareHighLevelRequirement.json
ingest_descert_SallyTransitionSystemModelGeneration,Auto-generated ingestion for SallyTransitionSystemModelGeneration,auto,ingest_descert_SallyTransitionSystemModelGeneration.json
ingest_descert_RadlerArchitectureAnalysis,Auto-generated ingestion for RadlerArchitectureAnalysis,auto,ingest_descert_RadlerArchitectureAnalysis.json
ingest_descert_Engineer,Auto-generated ingestion for Engineer,auto,ingest_descert_Engineer.json
ingest_descert_DevelopSystemConOps,Auto-generated ingestion for DevelopSystemConOps,auto,ingest_descert_DevelopSystemConOps.json
ingest_descert_ObjectFile,Auto-generated ingestion for ObjectFile,auto,ingest_descert_ObjectFile.json
ingest_descert_SystemRequirementsDefinition,Auto-generated ingestion for SystemRequirementsDefinition,auto,ingest_descert_SystemRequirementsDefinition.json
ingest_descert_SystemRequirementSet,Auto-generated ingestion for SystemRequirementSet,auto,ingest_descert_SystemRequirementSet.json
ingest_descert_SallyModelChecking,Auto-generated ingestion for SallyModelChecking,auto,ingest_descert_SallyModelChecking.json
ingest_descert_SoftwareIntegration,Auto-generated ingestion for SoftwareIntegration,auto,ingest_descert_SoftwareIntegration.json
ingest_descert_DaikonInvariantOutput,Auto-generated ingestion for DaikonInvariantOutput,auto,ingest_descert_DaikonInvariantOutput.json
ingest_descert_LikelyInvariantModel,Auto-generated ingestion for LikelyInvariantModel,auto,ingest_descert_LikelyInvariantModel.json
ingest_descert_SallyTransitionSystemModel,Auto-generated ingestion for SallyTransitionSystemModel,auto,ingest_descert_SallyTransitionSystemModel.json
ingest_descert_DaikonInvariantDetection,Auto-generated ingestion for DaikonInvariantDetection,auto,ingest_descert_DaikonInvariantDetection.json
ingest_descert_ClearTestAndOracleGeneration,Auto-generated ingestion for ClearTestAndOracleGeneration,auto,ingest_descert_ClearTestAndOracleGeneration.json
ingest_descert_RequirementAnalysis,Auto-generated ingestion for RequirementAnalysis,auto,ingest_descert_RequirementAnalysis.json
ingest_descert_GenericProperty,Auto-generated ingestion for GenericProperty,auto,ingest_descert_GenericProperty.json
ingest_descert_DesCertRequirementModel,Auto-generated ingestion for DesCertRequirementModel,auto,ingest_descert_DesCertRequirementModel.json
ingest_descert_SystemConOps,Auto-generated ingestion for SystemConOps,auto,ingest_descert_SystemConOps.json
ingest_descert_SoftwareDesign,Auto-generated ingestion for SoftwareDesign,auto,ingest_descert_SoftwareDesign.json
ingest_descert_SoftwareHighLevelRequirementsDefinition,Auto-generated ingestion for SoftwareHighLevelRequirementsDefinition,auto,ingest_descert_SoftwareHighLevelRequirementsDefinition.json
ingest_descert_RadlArchitectureModel,Auto-generated ingestion for RadlArchitectureModel,auto,ingest_descert_RadlArchitectureModel.json
ingest_descert_SpecificProperty,Auto-generated ingestion for SpecificProperty,auto,ingest_descert_SpecificProperty.json
ingest_descert_ClearTestingTheory,Auto-generated ingestion for ClearTestingTheory,auto,ingest_descert_ClearTestingTheory.json
ingest_descert_TestOracle,Auto-generated ingestion for TestOracle,auto,ingest_descert_TestOracle.json
ingest_descert_SoftwareCoding,Auto-generated ingestion for SoftwareCoding,auto,ingest_descert_SoftwareCoding.json
ingest_descert_ToolQualificationData,Auto-generated ingestion for ToolQualificationData,auto,ingest_descert_ToolQualificationData.json
ingest_descert_RandoopJUnitTestGeneration,Auto-generated ingestion for RandoopJUnitTestGeneration,auto,ingest_descert_RandoopJUnitTestGeneration.json
ingest_descert_SoftwareHighLevelRequirementSet,Auto-generated ingestion for SoftwareHighLevelRequirementSet,auto,ingest_descert_SoftwareHighLevelRequirementSet.json
